,sentiment,sp500_open,sp500_high,sp500_low,sp500_close,sp500_avg_close,sp500_avg_volume,sp500_monthly_return,sp500_intra_volatility,sentiment_z,sp500_close_z,sentiment_pct_change,rolling_corr_12m
1987-12,86.8,230.32,253.35,221.24,247.08,240.9559,178488636.3636,7.2861,14.5137,0.2102,-0.7949,4.4525,0.9324
1988-01,90.8,247.1,261.78,240.17,257.07,250.4765,174735000.0,4.0432,8.9978,0.4966,-0.7883,4.6083,0.8983
1988-02,91.6,257.05,267.82,247.82,267.82,258.128,184662000.0,4.1817,8.0704,0.5539,-0.7813,0.8811,0.8741
1988-03,94.6,267.82,272.64,256.07,258.89,265.7374,176216086.9565,-3.3343,6.4709,0.7688,-0.7871,3.2751,0.7441
1988-04,91.2,258.89,272.05,254.71,261.33,262.6155,163038000.0,0.9425,6.8077,0.5253,-0.7856,-3.5941,0.7305
1988-05,94.8,261.36,263.7,248.85,262.16,256.1238,153874761.9048,0.3176,5.9675,0.7831,-0.785,3.9474,0.6497
1988-06,94.7,262.16,276.88,262.1,273.5,270.6827,195759545.4545,4.3256,5.6391,0.7759,-0.7776,-0.1055,0.6438
1988-07,93.4,273.5,276.36,262.48,272.02,269.0495,166923500.0,-0.5411,5.288,0.6828,-0.7786,-1.3728,0.6334
1988-08,97.4,272.03,274.2,256.53,261.52,263.7265,144672608.6957,-3.86,6.8881,0.9693,-0.7854,4.2827,0.5604
1988-09,97.3,261.52,274.87,256.98,271.91,267.97,145688095.2381,3.9729,6.9616,0.9621,-0.7786,-0.1027,0.8411
1988-10,94.1,271.89,283.95,268.84,278.97,277.3957,162626666.6667,2.5964,5.6204,0.733,-0.774,-3.2888,0.8058
1988-11,93.0,278.97,280.37,262.85,273.7,271.0243,134420000.0,-1.8891,6.6654,0.6542,-0.7775,-1.169,0.5516
1988-12,91.9,273.68,280.45,270.47,277.72,276.5148,135471428.5714,1.4688,3.6899,0.5754,-0.7748,-1.1828,0.0625
1989-01,97.9,277.72,297.51,273.81,297.47,285.4138,168200952.381,7.1115,8.6556,1.0051,-0.7619,6.5288,0.2921
1989-02,95.4,297.47,300.57,286.26,288.86,294.0111,169277894.7368,-2.8944,4.999,0.826,-0.7676,-2.5536,0.2938
1989-03,94.3,288.86,299.99,286.46,294.87,292.7132,159296818.1818,2.0806,4.7232,0.7473,-0.7636,-1.153,0.2542
1989-04,91.5,294.87,310.45,294.35,309.64,302.251,161862500.0,5.009,5.4697,0.5468,-0.754,-2.9692,-0.2473
1989-05,90.7,309.64,323.06,304.06,320.52,313.93,170332727.2727,3.5137,6.2488,0.4895,-0.7469,-0.8743,-0.4792
1989-06,90.6,320.51,329.19,314.38,317.98,323.7277,180299545.4545,-0.7925,4.7109,0.4823,-0.7485,-0.1103,-0.5783
1989-07,92.0,317.98,346.08,317.26,346.08,331.9265,162451500.0,8.837,9.084,0.5826,-0.7302,1.5453,-0.6021
1989-08,89.6,346.08,352.73,339.0,351.45,346.6078,171700000.0,1.5517,4.0502,0.4107,-0.7267,-2.6087,-0.6251
1989-09,95.8,351.45,354.13,341.37,349.15,347.3295,151751000.0,-0.6544,3.7379,0.8547,-0.7282,6.9196,-0.3098
1989-10,93.9,349.15,360.44,327.12,340.36,347.3973,182394090.9091,-2.5175,10.1859,0.7186,-0.7339,-1.9833,-0.2382
1989-11,90.9,340.36,346.5,330.91,345.99,340.219,144388571.4286,1.6541,4.7112,0.5038,-0.7302,-3.1949,-0.3251
1989-12,90.5,346.01,354.1,339.63,353.4,348.572,160671000.0,2.1417,4.2605,0.4752,-0.7254,-0.44,-0.5015
1990-01,93.0,353.4,360.59,319.83,329.08,339.9718,172420454.5455,-6.8817,12.7443,0.6542,-0.7413,2.7624,-0.3687
1990-02,89.5,329.08,336.09,322.1,331.89,330.4526,155893157.8947,0.8539,4.3434,0.4036,-0.7395,-3.7634,-0.134
1990-03,91.3,331.89,344.49,331.08,339.94,338.465,149240000.0,2.4255,4.0504,0.5325,-0.7342,2.0112,0.1536
1990-04,93.9,339.94,347.3,327.76,330.8,338.178,140061000.0,-2.6887,5.9617,0.7186,-0.7402,2.8478,0.0975
1990-05,90.6,330.8,362.26,330.8,361.23,350.25,163485454.5455,9.1989,9.5103,0.4823,-0.7203,-3.5144,-0.0844
1990-06,88.3,361.26,368.78,351.23,358.02,360.3867,153632380.9524,-0.8886,4.9967,0.3176,-0.7224,-2.5386,-0.3953
1990-07,88.2,358.02,369.78,350.09,356.15,360.031,160644761.9048,-0.5223,5.6243,0.3105,-0.7236,-0.1133,-0.4689
1990-08,76.4,356.15,357.35,306.18,322.56,330.7465,174814347.8261,-9.4314,16.7124,-0.5345,-0.7456,-13.3787,0.2675
1990-09,72.8,322.56,326.53,295.98,306.05,315.4068,141435789.4737,-5.1184,10.3216,-0.7923,-0.7563,-4.712,0.5898
1990-10,63.9,306.1,319.69,294.51,304.0,307.1248,159647826.087,-0.6698,8.5498,-1.4296,-0.7577,-12.2253,0.7388
1990-11,66.0,303.99,323.02,301.61,322.22,315.291,149989047.619,5.9934,7.0986,-1.2792,-0.7458,3.2864,0.7179
1990-12,65.5,322.23,333.98,321.97,330.22,328.7495,155841500.0,2.4828,3.7302,-1.315,-0.7405,-0.7576,0.653
1991-01,66.8,330.2,343.93,309.35,343.93,325.4855,166374545.4545,4.1518,11.1783,-1.2219,-0.7316,1.9847,0.6006
1991-02,70.4,343.91,370.96,340.37,367.07,362.2632,226482631.5789,6.7281,8.9873,-0.9641,-0.7165,5.3892,0.4635
1991-03,87.7,367.07,379.66,363.73,375.22,372.279,196396000.0,2.2203,4.3796,0.2747,-0.7112,24.5739,0.5384
1991-04,81.8,375.22,391.26,370.27,375.34,379.6786,182600000.0,0.032,5.6688,-0.1478,-0.7111,-6.7275,0.6706
1991-05,78.3,375.35,389.85,365.83,389.83,377.9923,169986363.6364,3.8605,6.5659,-0.3984,-0.7016,-4.2787,0.6169
1991-06,82.1,389.81,389.81,367.98,371.16,378.293,162936500.0,-4.7893,5.9324,-0.1263,-0.7138,4.8531,0.6507
1991-07,82.9,371.18,387.81,370.92,387.81,380.2268,158253181.8182,4.4859,4.5535,-0.069,-0.7029,0.9744,0.7278
1991-08,82.0,387.81,396.82,374.09,395.43,389.4032,168810000.0,1.9649,6.0761,-0.1335,-0.698,-1.0856,0.7941
1991-09,83.0,395.43,397.62,382.77,387.86,387.1985,163049500.0,-1.9144,3.8796,-0.0619,-0.7029,1.2195,0.8697
